Feature,importance,fold
fftr_percentile_roll_mean_10_window_10000,39.6,3
fftr_percentile_roll_mean_10_window_500,33.8,3
fftr_percentile_roll_mean_1_window_100,15.8,3
fftr_percentile_roll_mean_1_window_1000,26.2,3
fftr_percentile_roll_mean_1_window_10000,59.0,3
fftr_percentile_roll_mean_1_window_500,15.8,3
fftr_percentile_roll_mean_5_window_100,25.2,3
fftr_percentile_roll_mean_5_window_1000,24.6,3
fftr_percentile_roll_mean_5_window_10000,44.8,3
fftr_percentile_roll_mean_5_window_500,20.0,3
fftr_percentile_roll_mean_90_window_100,22.0,3
fftr_percentile_roll_mean_90_window_1000,39.0,3
fftr_percentile_roll_mean_90_window_10000,32.6,3
fftr_percentile_roll_mean_90_window_500,32.0,3
fftr_percentile_roll_mean_95_window_100,26.2,3
fftr_percentile_roll_mean_95_window_1000,27.2,3
fftr_percentile_roll_mean_95_window_10000,38.2,3
fftr_percentile_roll_mean_95_window_500,34.2,3
fftr_percentile_roll_mean_99_window_100,15.8,3
fftr_percentile_roll_mean_99_window_1000,21.6,3
fftr_percentile_roll_mean_99_window_10000,26.2,3
fftr_percentile_roll_mean_99_window_500,36.2,3
fftr_percentile_roll_std_10_window_100,38.0,3
fftr_percentile_roll_std_10_window_1000,16.8,3
fftr_percentile_roll_std_10_window_10000,25.6,3
fftr_percentile_roll_std_10_window_500,25.2,3
fftr_percentile_roll_std_1_window_100,33.0,3
fftr_percentile_roll_std_1_window_1000,21.2,3
fftr_percentile_roll_std_1_window_10000,22.4,3
fftr_percentile_roll_std_1_window_500,19.2,3
fftr_percentile_roll_std_5_window_100,26.0,3
fftr_percentile_roll_std_5_window_1000,20.4,3
fftr_percentile_roll_std_5_window_10000,31.0,3
fftr_percentile_roll_std_5_window_500,20.2,3
fftr_percentile_roll_std_90_window_100,14.2,3
fftr_percentile_roll_std_90_window_1000,17.6,3
fftr_percentile_roll_std_90_window_10000,11.6,3
fftr_percentile_roll_std_90_window_500,18.2,3
fftr_percentile_roll_std_95_window_1000,8.6,3
fftr_percentile_roll_std_95_window_10000,3.6,3
fftr_percentile_roll_std_99_window_100,6.4,3
fftr_percentile_roll_std_99_window_1000,7.4,3
fftr_percentile_roll_std_99_window_10000,2.2,3
fftr_percentile_roll_std_99_window_500,8.8,3
fftr_range_-100_-95,18.4,3
fftr_range_-105_-100,23.0,3
fftr_range_-10_-5,35.2,3
fftr_range_-110_-105,14.8,3
fftr_range_-115_-110,28.2,3
fftr_range_-120_-115,39.4,3
fftr_range_-125_-120,25.4,3
fftr_range_-130_-125,30.2,3
fftr_range_-135_-130,33.2,3
fftr_range_-140_-135,20.0,3
fftr_range_-145_-140,28.2,3
fftr_range_-150_-145,27.8,3
fftr_range_-155_-150,25.2,3
fftr_range_-15_-10,16.8,3
fftr_range_-160_-155,18.4,3
fftr_range_-165_-160,20.0,3
fftr_range_-170_-165,34.0,3
